"category","result.status","protectionPolicy.name","result.error.code","host.name","asset.name","inventorySource.type","result.error.detailedDescription","result.error.reason","result.error.extendedReason","result.error.remediation"
"PROTECT","FAILED","Virtual Machines -Crash consistent -Test PLC","AERR0019","","sqlaag-01","VCENTER","This task is unsuccessful because internal issue happens at service side.","This task is unsuccessful because internal issue happens at service side.","","To troubleshoot this issue: wait for some time and then retry the operation again. If the issue persists, contact Dell Customer Support."
"PROTECT","FAILED","Virtual Machines -Crash consistent -Test PLC","AERR0019","","SQL-03","VCENTER","This task is unsuccessful because internal issue happens at service side.","This task is unsuccessful because internal issue happens at service side.","","To troubleshoot this issue: wait for some time and then retry the operation again. If the issue persists, contact Dell Customer Support."
"PROTECT","FAILED","Virtual Machines -Crash consistent -Test PLC","AERR0019","","Isilon","VCENTER","This task is unsuccessful because internal issue happens at service side.","This task is unsuccessful because internal issue happens at service side.","","To troubleshoot this issue: wait for some time and then retry the operation again. If the issue persists, contact Dell Customer Support."
"PROTECT","FAILED","Virtual Machines -Crash consistent -Test PLC","AERR0019","","WIN-02","VCENTER","This task is unsuccessful because internal issue happens at service side.","This task is unsuccessful because internal issue happens at service side.","","To troubleshoot this issue: wait for some time and then retry the operation again. If the issue persists, contact Dell Customer Support."
"PROTECT","FAILED","Virtual Machines -Crash consistent -Test PLC","AERR0019","","WIN-01","VCENTER","This task is unsuccessful because internal issue happens at service side.","This task is unsuccessful because internal issue happens at service side.","","To troubleshoot this issue: wait for some time and then retry the operation again. If the issue persists, contact Dell Customer Support."
"PROTECT","FAILED","Virtual Machines -Crash consistent -Test PLC","AERR0019","","LINUX-01","VCENTER","This task is unsuccessful because internal issue happens at service side.","This task is unsuccessful because internal issue happens at service side.","","To troubleshoot this issue: wait for some time and then retry the operation again. If the issue persists, contact Dell Customer Support."
"PROTECT","FAILED","Kubernetes Backups - TEST PLC","ABK0018","","default","KUBERNETES","The backup of this Kubernetes namespace was not successful because of a problem on the protection storage.","Unable to back up namespace 'default' in Kubernetes cluster 'Cluster-01' because of a protection storage issue.","Unable to setup backup.  Unable to create directory 'Kubernetes_Backups_-_TEST_PLC-ppdm-01-a2e89/PLCTLP-694fb9a3-e763-4352-8b08-e0b323f863f0/Stagings/e6e4041f-3e15-47bf-b03c-9128d568a63c/default/1731594922824007366':  [5005] No space left on device","Verify that the PowerProtect DD System is fully functional and that the DD Boost ports are open between the Kubernetes cluster and the PowerProtect DD System."
"PROTECT","FAILED","SQL Backups -TEST PLC","ABA0002","sqlaag-02.demo.local","msdb","","The protection policy backup was unsuccessful because of an agent issue.","SQL Backups -TEST PLC: Unable to backup MICROSOFT_SQL_DATABASE asset msdb on host sqlaag-02.demo.local to storage target SQL_Backups_-TEST_PLC-ppdm-01-f0af0 because of an agent issue.","Protection policy backup was unsuccessful because the Agent failed with the following error: Backup of database on host and instance is unsuccessful because of an internal server error. Check the ddbmsqlsv logs available in MSAPPAGENT logs directory on the host for more details.","Click export log and review the log file to determine the status of the job or check agent logs for more details."
"PROTECT","FAILED","SQL Backups -TEST PLC","ABA0002","sqlaag-02.demo.local","model","","The protection policy backup was unsuccessful because of an agent issue.","SQL Backups -TEST PLC: Unable to backup MICROSOFT_SQL_DATABASE asset model on host sqlaag-02.demo.local to storage target SQL_Backups_-TEST_PLC-ppdm-01-f0af0 because of an agent issue.","Protection policy backup was unsuccessful because the Agent failed with the following error: Backup of database on host and instance is unsuccessful because of an internal server error. Check the ddbmsqlsv logs available in MSAPPAGENT logs directory on the host for more details.","Click export log and review the log file to determine the status of the job or check agent logs for more details."
"PROTECT","FAILED","SQL Backups -TEST PLC","ABA0002","sqlaag-02.demo.local","DemoDB-01","","The protection policy backup was unsuccessful because of an agent issue.","SQL Backups -TEST PLC: Unable to backup MICROSOFT_SQL_DATABASE asset DemoDB-01 on host sqlaag-02.demo.local to storage target SQL_Backups_-TEST_PLC-ppdm-01-f0af0 because of an agent issue.","Protection policy backup was unsuccessful because the Agent failed with the following error: Backup of database on host and instance is unsuccessful because of an internal server error. Check the ddbmsqlsv logs available in MSAPPAGENT logs directory on the host for more details.","Click export log and review the log file to determine the status of the job or check agent logs for more details."
"PROTECT","FAILED","SQL Backups -TEST PLC","ABA0002","sqlaag-02.demo.local","DemoDB-02","","The protection policy backup was unsuccessful because of an agent issue.","SQL Backups -TEST PLC: Unable to backup MICROSOFT_SQL_DATABASE asset DemoDB-02 on host sqlaag-02.demo.local to storage target SQL_Backups_-TEST_PLC-ppdm-01-f0af0 because of an agent issue.","Protection policy backup was unsuccessful because the Agent failed with the following error: Backup of database on host and instance is unsuccessful because of an internal server error. Check the ddbmsqlsv logs available in MSAPPAGENT logs directory on the host for more details.","Click export log and review the log file to determine the status of the job or check agent logs for more details."
"PROTECT","FAILED","Virtual Machines -Crash consistent -Test PLC","ABV0026","esxi01-7.demo.local","PPDM-01","","The VM Direct engine cannot complete the backup of this virtual machine because of a protection storage capacity issue on the PowerProtect DD.","The VM Direct engine 'localhost' is unable to back up the virtual machine 'PPDM-01' on vCenter 'VCenter' because the available space on the protection storage system 'ddve-01.demo.local' is insufficient.","Cannot create export directory 'Virtual_Machines_-Crash_consistent_--ppdm-01-ef2c3/PLCTLP-526629ba-5227-4c6f-a26d-0ff368976ef4/Stagings/4c6e8a0d-b323-44bf-b12b-da850be18bc5/501f1b61-1a78-75a2-de97-6d802f87a084/1731594927473478151' on 'ddve-01.demo.local':  [5005] No space left on device","Check the protection storage system to determine if there is enough free space for the operation. The PowerProtect DD Administration Guide provides more information on how to reclaim space."
"PROTECT","FAILED","SQL Backups -TEST PLC","ABA0002","SQL-02.demo.local","SQLPROD-01","","The protection policy backup was unsuccessful because of an agent issue.","SQL Backups -TEST PLC: Unable to backup MICROSOFT_SQL_DATABASE asset SQLPROD-01 on host SQL-02.demo.local to storage target SQL_Backups_-TEST_PLC-ppdm-01-f0af0 because of an agent issue.","Protection policy backup was unsuccessful because the Agent failed with the following error: Backup of database on host and instance is unsuccessful because of an internal server error. Check the ddbmsqlsv logs available in MSAPPAGENT logs directory on the host for more details.","Click export log and review the log file to determine the status of the job or check agent logs for more details."
"PROTECT","FAILED","SQL Backups -TEST PLC","ABA0002","SQL-02.demo.local","SQLQA-01","","The protection policy backup was unsuccessful because of an agent issue.","SQL Backups -TEST PLC: Unable to backup MICROSOFT_SQL_DATABASE asset SQLQA-01 on host SQL-02.demo.local to storage target SQL_Backups_-TEST_PLC-ppdm-01-f0af0 because of an agent issue.","Protection policy backup was unsuccessful because the Agent failed with the following error: Backup of database on host and instance is unsuccessful because of an internal server error. Check the ddbmsqlsv logs available in MSAPPAGENT logs directory on the host for more details.","Click export log and review the log file to determine the status of the job or check agent logs for more details."
"PROTECT","FAILED","SQL Backups -TEST PLC","ABA0002","SQL-02.demo.local","SQLQA-02","","The protection policy backup was unsuccessful because of an agent issue.","SQL Backups -TEST PLC: Unable to backup MICROSOFT_SQL_DATABASE asset SQLQA-02 on host SQL-02.demo.local to storage target SQL_Backups_-TEST_PLC-ppdm-01-f0af0 because of an agent issue.","Protection policy backup was unsuccessful because the Agent failed with the following error: Backup of database on host and instance is unsuccessful because of an internal server error. Check the ddbmsqlsv logs available in MSAPPAGENT logs directory on the host for more details.","Click export log and review the log file to determine the status of the job or check agent logs for more details."
"PROTECT","FAILED","SQL Backups -TEST PLC","ABA0002","SQL-02.demo.local","SQLQA-03","","The protection policy backup was unsuccessful because of an agent issue.","SQL Backups -TEST PLC: Unable to backup MICROSOFT_SQL_DATABASE asset SQLQA-03 on host SQL-02.demo.local to storage target SQL_Backups_-TEST_PLC-ppdm-01-f0af0 because of an agent issue.","Protection policy backup was unsuccessful because the Agent failed with the following error: Backup of database on host and instance is unsuccessful because of an internal server error. Check the ddbmsqlsv logs available in MSAPPAGENT logs directory on the host for more details.","Click export log and review the log file to determine the status of the job or check agent logs for more details."
"PROTECT","FAILED","SQL Backups -TEST PLC","ABA0002","SQL-02.demo.local","SQLDEV-01","","The protection policy backup was unsuccessful because of an agent issue.","SQL Backups -TEST PLC: Unable to backup MICROSOFT_SQL_DATABASE asset SQLDEV-01 on host SQL-02.demo.local to storage target SQL_Backups_-TEST_PLC-ppdm-01-f0af0 because of an agent issue.","Protection policy backup was unsuccessful because the Agent failed with the following error: Backup of database on host and instance is unsuccessful because of an internal server error. Check the ddbmsqlsv logs available in MSAPPAGENT logs directory on the host for more details.","Click export log and review the log file to determine the status of the job or check agent logs for more details."
"PROTECT","FAILED","SQL Backups -TEST PLC","ABA0002","SQL-02.demo.local","SQLDEV-02","","The protection policy backup was unsuccessful because of an agent issue.","SQL Backups -TEST PLC: Unable to backup MICROSOFT_SQL_DATABASE asset SQLDEV-02 on host SQL-02.demo.local to storage target SQL_Backups_-TEST_PLC-ppdm-01-f0af0 because of an agent issue.","Protection policy backup was unsuccessful because the Agent failed with the following error: Backup of database on host and instance is unsuccessful because of an internal server error. Check the ddbmsqlsv logs available in MSAPPAGENT logs directory on the host for more details.","Click export log and review the log file to determine the status of the job or check agent logs for more details."
"PROTECT","FAILED","SQL Backups -TEST PLC","ABA0002","SQL-02.demo.local","master","","The protection policy backup was unsuccessful because of an agent issue.","SQL Backups -TEST PLC: Unable to backup MICROSOFT_SQL_DATABASE asset master on host SQL-02.demo.local to storage target SQL_Backups_-TEST_PLC-ppdm-01-f0af0 because of an agent issue.","Protection policy backup was unsuccessful because the Agent failed with the following error: Backup of database on host and instance is unsuccessful because of an internal server error. Check the ddbmsqlsv logs available in MSAPPAGENT logs directory on the host for more details.","Click export log and review the log file to determine the status of the job or check agent logs for more details."
"PROTECT","FAILED","NAS Backups - TEST PLC","ABNA0020","","","","The existence of the target asset cannot be validated.","Unable to complete a SNAPSHOT_AND_SLICE operation because the location for asset /ifs/data/csi/k8s-418144021c could not be validated in PowerScale/Isilon NAS 192.168.1.108.","NAS vProxy Engine nas-proxy.demo.local is unable to perform SnapshotAndSlice operation for nasShare /ifs/data/csi/k8s-418144021c. ||||||Error Details:||| TaskId: 1e3c2f2e-dba1-44b3-a958-c6ae530a33d0, JobId 1e3c2f2e-dba1-44b3-a958-c6ae530a33d0 ||| NAS agent error code 'ABNA0020'. Unable to complete the 'SNAPSHOT_AND_SLICE' operation because the location for asset '/ifs/data/csi/k8s-418144021c' could not be validated in PowerScale/Isilon NAS '192.168.1.108'.. |||","Connect to the PowerScale/Isilon NAS and verify that the share exists. |||From the PowerProtect Data Manager Asset Source page, perform an on-demand discovery of assets from this asset source."
"PROTECT","SKIPPED","NAS Backups - TEST PLC","AERR0004","","","","This task cannot be completed when dependent protection tasks do not complete successfully.","Task Performing data rollover for the slices created was skipped because the protection task was unsuccessful.","","Review the details for the protection task in the Jobs window to troubleshoot the issue. When the issue is resolved, retry the protection job task. If the issue persists, contact Dell Customer Support."
"PROTECT","FAILED","Virtual Machines -Crash consistent -Test PLC","AERR0019","","Linux0032","VCENTER","This task is unsuccessful because internal issue happens at service side.","This task is unsuccessful because internal issue happens at service side.","","To troubleshoot this issue: wait for some time and then retry the operation again. If the issue persists, contact Dell Customer Support."
"PROTECT","FAILED","Virtual Machines -Crash consistent -Test PLC","ABV0026","esxi01-7.demo.local","Linux0032","","The VM Direct engine cannot complete the backup of this virtual machine because of a protection storage capacity issue on the PowerProtect DD.","The VM Direct engine 'localhost' is unable to back up the virtual machine 'Linux0032' on vCenter 'VCenter' because the available space on the protection storage system 'ddve-01.demo.local' is insufficient.","Cannot create export directory 'Virtual_Machines_-Crash_consistent_--ppdm-01-ef2c3/PLCTLP-526629ba-5227-4c6f-a26d-0ff368976ef4/Stagings/4c6e8a0d-b323-44bf-b12b-da850be18bc5/50007493-6e6e-926e-1a57-11fa19db6108/1731594962156906635' on 'ddve-01.demo.local':  [5005] No space left on device","Check the protection storage system to determine if there is enough free space for the operation. The PowerProtect DD Administration Guide provides more information on how to reclaim space."
"PROTECT","FAILED","NAS Backups - TEST PLC","ABNA0013","","","","A stub file cannot be created on the PowerProtect DD System to get a unique transaction ID backup.","Unable to complete the SNAPSHOT_AND_SLICE operation because a backup copy ID for share /ifs/nfs-share01 could not be generated.","NAS vProxy Engine nas-proxy.demo.local is unable to perform SnapshotAndSlice operation for nasShare /ifs/nfs-share01. ||||||Error Details:||| TaskId: 7d51499e-1bb0-4287-998a-7c4e549362c3, JobId 7d51499e-1bb0-4287-998a-7c4e549362c3 ||| NAS agent error code 'ABNA0013'. Unable to create a save set with a timestamp: 1731594995008436989.|||. |||","To troubleshoot this issue: |||1) Check for connectivity between the PowerProtect DD system, PowerProtect Data Manager, and the NAS protection engine. |||2) Verify that there is enough storage space on the PowerProtect DD system and that the corresponding Storage Unit (SU) is accessible. |||3) Retry the operation. If the issue persists, contact Dell Customer Support."
"PROTECT","FAILED","NAS Backups - TEST PLC","ABNA0020","","/ifs/data/csi/k8s-d8196857f7","","The existence of the target asset cannot be validated.","Unable to complete a SNAPSHOT_AND_SLICE operation because the location for asset /ifs/data/csi/k8s-d8196857f7 could not be validated in PowerScale/Isilon NAS 192.168.1.108.","NAS vProxy Engine nas-proxy.demo.local is unable to perform SnapshotAndSlice operation for nasShare /ifs/data/csi/k8s-d8196857f7. ||||||Error Details:||| TaskId: 0d0dc72a-e091-4a89-90b4-203d710bc79f, JobId 0d0dc72a-e091-4a89-90b4-203d710bc79f ||| NAS agent error code 'ABNA0020'. Unable to complete the 'SNAPSHOT_AND_SLICE' operation because the location for asset '/ifs/data/csi/k8s-d8196857f7' could not be validated in PowerScale/Isilon NAS '192.168.1.108'.. |||","Connect to the PowerScale/Isilon NAS and verify that the share exists. |||From the PowerProtect Data Manager Asset Source page, perform an on-demand discovery of assets from this asset source."
"PROTECT","FAILED","NAS Backups - TEST PLC","ABNA0013","","/ifs/nfs-share01","","A stub file cannot be created on the PowerProtect DD System to get a unique transaction ID backup.","Unable to complete the SNAPSHOT_AND_SLICE operation because a backup copy ID for share /ifs/nfs-share01 could not be generated.","NAS vProxy Engine nas-proxy.demo.local is unable to perform SnapshotAndSlice operation for nasShare /ifs/nfs-share01. ||||||Error Details:||| TaskId: 7d51499e-1bb0-4287-998a-7c4e549362c3, JobId 7d51499e-1bb0-4287-998a-7c4e549362c3 ||| NAS agent error code 'ABNA0013'. Unable to create a save set with a timestamp: 1731594995008436989.|||. |||","To troubleshoot this issue: |||1) Check for connectivity between the PowerProtect DD system, PowerProtect Data Manager, and the NAS protection engine. |||2) Verify that there is enough storage space on the PowerProtect DD system and that the corresponding Storage Unit (SU) is accessible. |||3) Retry the operation. If the issue persists, contact Dell Customer Support."
"CONFIG","FAILED","Virtual Machines -Crash consistent -Test PLC","ABV0025","","win-11","","The VM Direct engine cannot complete protection of this virtual machine because the protection configuration was unsuccessful.","VM Direct engine is unable to configure protection for the virtual machine 'win-11' on vCenter 'VCenter'.","Unable to configure protection for the asset because SCSI sharing and is not supported.","Review the error details and summary log in the Jobs window, or export the job logs and review the log files for more information. If the issue persists, contact Dell Customer Support."
"PROTECT","FAILED","Virtual Machines -Crash consistent -Test PLC","ABV0025","","win-11","VCENTER","The VM Direct engine cannot complete protection of this virtual machine because the protection configuration was unsuccessful.","VM Direct engine is unable to configure protection for the virtual machine 'win-11' on vCenter 'VCenter'.","Unable to configure protection for the asset because SCSI sharing and is not supported.","Review the error details and summary log in the Jobs window, or export the job logs and review the log files for more information. If the issue persists, contact Dell Customer Support."
"PROTECT","FAILED","NAS Backups - TEST PLC","ABNA0013","","win-share01","","A stub file cannot be created on the PowerProtect DD System to get a unique transaction ID backup.","Unable to complete the SNAPSHOT_AND_SLICE operation because a backup copy ID for share win-share01 could not be generated.","NAS vProxy Engine nas-proxy.demo.local is unable to perform SnapshotAndSlice operation for nasShare win-share01. ||||||Error Details:||| TaskId: 3b374ef6-4083-4e89-a858-c49a8cc4116c, JobId 3b374ef6-4083-4e89-a858-c49a8cc4116c ||| NAS agent error code 'ABNA0013'. Unable to create a save set with a timestamp: 1731595021569093435.|||. |||","To troubleshoot this issue: |||1) Check for connectivity between the PowerProtect DD system, PowerProtect Data Manager, and the NAS protection engine. |||2) Verify that there is enough storage space on the PowerProtect DD system and that the corresponding Storage Unit (SU) is accessible. |||3) Retry the operation. If the issue persists, contact Dell Customer Support."
"PROTECT","FAILED","Filesystem Backups -TEST PLC","ABA0002","win-10.demo.local","DISASTER_RECOVERY:\\","","The protection policy backup was unsuccessful because of an agent issue.","Filesystem Backups -TEST PLC: Unable to backup FILE_SYSTEM asset DISASTER_RECOVERY:\\ on host win-10.demo.local to storage target Filesystem_Backups_-TEST_PLC-ppdm-01-b89b3 because of an agent issue.","Protection policy backup was unsuccessful because the Agent failed with the following error: SQLite database initialization failed.","Click export log and review the log file to determine the status of the job or check agent logs for more details."
"PROTECT","FAILED","Filesystem Backups -TEST PLC","ABA0002","win-01.demo.local","C:\\","","The protection policy backup was unsuccessful because of an agent issue.","Filesystem Backups -TEST PLC: Unable to backup FILE_SYSTEM asset C:\\ on host win-01.demo.local to storage target Filesystem_Backups_-TEST_PLC-ppdm-01-b89b3 because of an agent issue.","Protection policy backup was unsuccessful because the Agent failed with the following error: SQLite database initialization failed.","Click export log and review the log file to determine the status of the job or check agent logs for more details."
"PROTECT","FAILED","Filesystem Backups -TEST PLC","ABA0002","win-01.demo.local","E:\\","","The protection policy backup was unsuccessful because of an agent issue.","Filesystem Backups -TEST PLC: Unable to backup FILE_SYSTEM asset E:\\ on host win-01.demo.local to storage target Filesystem_Backups_-TEST_PLC-ppdm-01-b89b3 because of an agent issue.","Protection policy backup was unsuccessful because the Agent failed with the following error: SQLite database initialization failed.","Click export log and review the log file to determine the status of the job or check agent logs for more details."
"PROTECT","UNKNOWN","Exchange Backups - TEST PLC","ABA0023","exchange.demo.local","Test_DB_001","","Monitoring of this session cannot be completed because of an unknown error occurred during monitoring.","Exchange Backups - TEST PLC: Unable to monitor backup/restore session of MICROSOFT_EXCHANGE_DATABASE asset Test_DB_001 in host exchange.demo.local because of an unknown error. The backup/restore session might be running on the client.","","Monitor the next few jobs and please ensure network connectivity between agent and PowerProtect Data Manager has no issues and all the services of PowerProtect Data Manager are up and running."
"PROTECT","UNKNOWN","Exchange Backups - TEST PLC","ABA0023","exchange.demo.local","Test_DB_003","","Monitoring of this session cannot be completed because of an unknown error occurred during monitoring.","Exchange Backups - TEST PLC: Unable to monitor backup/restore session of MICROSOFT_EXCHANGE_DATABASE asset Test_DB_003 in host exchange.demo.local because of an unknown error. The backup/restore session might be running on the client.","","Monitor the next few jobs and please ensure network connectivity between agent and PowerProtect Data Manager has no issues and all the services of PowerProtect Data Manager are up and running."
"PROTECT","UNKNOWN","Exchange Backups - TEST PLC","ABA0023","exchange.demo.local","Mailbox Database 0597205983","","Monitoring of this session cannot be completed because of an unknown error occurred during monitoring.","Exchange Backups - TEST PLC: Unable to monitor backup/restore session of MICROSOFT_EXCHANGE_DATABASE asset Mailbox Database 0597205983 in host exchange.demo.local because of an unknown error. The backup/restore session might be running on the client.","","Monitor the next few jobs and please ensure network connectivity between agent and PowerProtect Data Manager has no issues and all the services of PowerProtect Data Manager are up and running."
"PROTECT","UNKNOWN","Exchange Backups - TEST PLC","ABA0023","exchange.demo.local","Test_DB_002","","Monitoring of this session cannot be completed because of an unknown error occurred during monitoring.","Exchange Backups - TEST PLC: Unable to monitor backup/restore session of MICROSOFT_EXCHANGE_DATABASE asset Test_DB_002 in host exchange.demo.local because of an unknown error. The backup/restore session might be running on the client.","","Monitor the next few jobs and please ensure network connectivity between agent and PowerProtect Data Manager has no issues and all the services of PowerProtect Data Manager are up and running."
"PROTECT","UNKNOWN","Exchange Backups - TEST PLC","ABA0023","exchange.demo.local","Test_DB_004","","Monitoring of this session cannot be completed because of an unknown error occurred during monitoring.","Exchange Backups - TEST PLC: Unable to monitor backup/restore session of MICROSOFT_EXCHANGE_DATABASE asset Test_DB_004 in host exchange.demo.local because of an unknown error. The backup/restore session might be running on the client.","","Monitor the next few jobs and please ensure network connectivity between agent and PowerProtect Data Manager has no issues and all the services of PowerProtect Data Manager are up and running."
